valid_time_gmt,heat_index
2017-05-03 13:53:00,88.0
2017-05-03 14:53:00,90.0
2017-05-03 15:53:00,90.0
2017-05-03 16:53:00,89.0
2017-06-17 15:53:00,87.0
2017-06-17 16:53:00,87.0
2017-06-18 10:53:00,91.0
2017-06-18 11:53:00,93.0
2017-06-18 12:53:00,97.0
2017-06-18 13:53:00,99.0
2017-06-18 14:53:00,100.0
2017-06-18 15:53:00,101.0
2017-06-18 16:53:00,100.0
2017-06-18 17:53:00,93.0
2017-06-18 18:53:00,91.0
2017-06-18 19:53:00,88.0
2017-06-19 10:53:00,87.0
2017-06-19 11:53:00,93.0
2017-06-19 12:53:00,95.0
2017-06-19 13:53:00,90.0
2017-06-19 14:53:00,89.0
2017-06-19 15:53:00,92.0
2017-06-19 16:53:00,89.0
2017-06-20 12:53:00,88.0
2017-06-21 13:53:00,89.0
2017-06-21 14:53:00,92.0
2017-06-22 10:53:00,87.0
2017-06-22 11:53:00,94.0
2017-06-22 12:53:00,95.0
2017-06-22 13:53:00,93.0
2017-06-22 14:53:00,95.0
2017-06-22 15:53:00,91.0
2017-06-22 16:53:00,88.0
