,feels_like
73.0,0.023848721818264966
72.0,0.022293867471532447
71.0,0.021859422874651303
70.0,0.021036264691087027
74.0,0.02071614761970092
69.0,0.0197557964055426
79.0,0.01955000685965153
75.0,0.019207024283166414
76.0,0.01868111766588924
67.0,0.018566790140394203
68.0,0.017743631956829927
66.0,0.017080532308958705
50.0,0.016600356701879544
80.0,0.01589152604381031
64.0,0.015822929528513285
63.0,0.015434215941830155
62.0,0.01529702291123611
65.0,0.014771116293958934
61.0,0.014542461242968856
60.0,0.014199478666483743
30.0,0.014176613161384735
59.0,0.013124799926830385
57.0,0.013079068916632368
58.0,0.012804682855444277
51.0,0.012804682855444277
54.0,0.01278181735034527
41.0,0.012758951845246261
40.0,0.012758951845246261
52.0,0.012758951845246261
33.0,0.012530296794256185
42.0,0.012507431289157177
56.0,0.01248456578405817
53.0,0.01239310376366214
39.0,0.01200439017697901
82.0,0.011775735125988934
81.0,0.011684273105592903
55.0,0.01161567659029588
31.0,0.011501349064800841
29.0,0.01140988704440481
28.0,0.011295559518909773
36.0,0.011272694013810765
38.0,0.011066904467919697
32.0,0.01102117345772168
23.0,0.010952576942424658
25.0,0.010906845932226643
27.0,0.010815383911830612
43.0,0.010769652901632598
22.0,0.010723921891434582
26.0,0.01063245987103855
37.0,0.010129418758860384
24.0,0.009923629212969314
44.0,0.009900763707870307
84.0,0.009214798554900077
35.0,0.00919193304980107
19.0,0.008963277998810994
34.0,0.008963277998810994
83.0,0.00880321946311794
45.0,0.008688891937622902
21.0,0.008414505876434811
17.0,0.008162985320345727
85.0,0.008094388805048704
16.0,0.00793433026935565
20.0,0.007911464764256642
18.0,0.007339827136781452
9.0,0.006562399963415192
86.0,0.00619655188183107
11.0,0.006082224356336032
12.0,0.005945031325741985
14.0,0.005830703800246947
78.0,0.005670645264553894
13.0,0.0056477797594548865
15.0,0.005579183244157864
88.0,0.005556317739058856
7.0,0.00541912470846481
87.0,0.005053276626880688
4.0,0.005053276626880688
10.0,0.004893218091187634
8.0,0.004664563040197558
89.0,0.004618832029999543
5.0,0.004138656422920382
6.0,0.003841404856633283
3.0,0.0034526912699501533
46.0,0.003086843188366031
90.0,0.003018246673069008
2.0,0.0029953811679700004
91.0,0.002766726116979924
47.0,0.0027438606118809165
1.0,0.0026066675812868706
0.0,0.0026066675812868706
-3.0,0.002583802076187863
92.0,0.0023551470251977867
-8.0,0.002217953994603741
-2.0,0.0021493574793067178
-5.0,0.0021036264691087028
-1.0,0.002012164448712672
-7.0,0.0018063749028216034
-6.0,0.0017377783875245805
93.0,0.0017149128824255728
-12.0,0.0016463163671285499
94.0,0.0016005853569305347
-9.0,0.0016005853569305347
95.0,0.0015319888416335118
-4.0,0.0014405268212374811
-10.0,0.0013490648008414505
-14.0,0.0012804682855444276
48.0,0.0012347372753464124
-13.0,0.0011890062651483972
-11.0,0.0011432752549503818
49.0,0.0011204097498513743
-15.0,0.0010518132345543514
96.0,0.0010289477294553437
-17.0,0.0009603512141583208
97.0,0.0008917546988612979
98.0,0.0007774271733662596
-16.0,0.0006859651529702291
-18.0,0.0006630996478712215
99.0,0.000503041112178168
-19.0,0.0004344445968811451
-20.0,0.0003887135866831298
-21.0,0.0003887135866831298
-22.0,0.0003201170713861069
-24.0,0.00027438606118809165
101.0,0.00027438606118809165
100.0,0.000251520556089084
77.0,0.00016005853569305345
102.0,0.00016005853569305345
-23.0,0.00013719303059404582
-27.0,0.00013719303059404582
103.0,0.00013719303059404582
-25.0,9.146202039603055e-05
-28.0,9.146202039603055e-05
-37.0,9.146202039603055e-05
109.0,9.146202039603055e-05
-31.0,9.146202039603055e-05
-30.0,6.859651529702291e-05
-32.0,6.859651529702291e-05
-39.0,6.859651529702291e-05
-35.0,6.859651529702291e-05
-26.0,4.573101019801528e-05
-38.0,4.573101019801528e-05
106.0,4.573101019801528e-05
-34.0,4.573101019801528e-05
-36.0,4.573101019801528e-05
-40.0,4.573101019801528e-05
-29.0,2.286550509900764e-05
-41.0,2.286550509900764e-05
107.0,2.286550509900764e-05
