,temp
73.0,0.023848721818264966
72.0,0.022293867471532447
71.0,0.021859422874651303
70.0,0.021036264691087027
74.0,0.02071614761970092
69.0,0.0197557964055426
75.0,0.019207024283166414
76.0,0.01868111766588924
67.0,0.018566790140394203
68.0,0.017743631956829927
66.0,0.017080532308958705
34.0,0.016989070288562676
77.0,0.01664608771207756
50.0,0.016600356701879544
64.0,0.015822929528513285
48.0,0.015800064023414277
47.0,0.015525677962226186
63.0,0.015434215941830155
62.0,0.01529702291123611
46.0,0.015159829880642064
65.0,0.014771116293958934
78.0,0.014679654273562904
45.0,0.014633923263364887
61.0,0.014542461242968856
30.0,0.014496730232770842
44.0,0.01442813371747382
36.0,0.014405268212374811
33.0,0.014290940686879774
39.0,0.014290940686879774
60.0,0.014199478666483743
79.0,0.014108016646087712
38.0,0.013879361595097636
49.0,0.013787899574701605
37.0,0.013787899574701605
35.0,0.01326199295742443
42.0,0.013239127452325422
41.0,0.013170530937028399
59.0,0.013124799926830385
80.0,0.013101934421731376
57.0,0.013079068916632368
58.0,0.012804682855444277
51.0,0.012804682855444277
54.0,0.01278181735034527
52.0,0.012758951845246261
43.0,0.012598893309553208
40.0,0.012576027804454201
56.0,0.01248456578405817
32.0,0.012415969268761148
53.0,0.01239310376366214
28.0,0.012233045227969086
81.0,0.011867197146384964
55.0,0.01161567659029588
82.0,0.01074678739653359
31.0,0.010701056386335573
29.0,0.010518132345543513
27.0,0.009649243151781223
83.0,0.009443453605890155
25.0,0.00937485709059313
21.0,0.008094388805048704
26.0,0.007865733754058628
84.0,0.007751406228563589
19.0,0.007637078703068551
85.0,0.007385558146979467
23.0,0.007294096126583436
24.0,0.006813920519504276
22.0,0.006425206932821146
20.0,0.006150820871633054
18.0,0.0059678968308409935
86.0,0.005624914254355878
16.0,0.005007545616682672
17.0,0.004801756070791603
87.0,0.004070059907623359
14.0,0.004001463392326337
88.0,0.0039785978872273284
13.0,0.0032926327342570998
89.0,0.0032011707138610694
15.0,0.0031783052087620616
10.0,0.0029267846526729777
12.0,0.0028581881373759546
7.0,0.002835322632276947
9.0,0.0025380710659898475
11.0,0.0024923400557918325
8.0,0.0021722229844057255
4.0,0.00212649197420771
90.0,0.0020350299538116796
2.0,0.0019892989436136642
3.0,0.0019892989436136642
6.0,0.001966433438514657
5.0,0.001829240407920611
91.0,0.0018063749028216034
92.0,0.0012118717702474047
1.0,0.0011890062651483972
0.0,0.0010518132345543514
93.0,0.0008688891937622903
-1.0,0.0008460236886632825
-2.0,0.0005945031325741986
94.0,0.0005259066172771757
-5.0,0.0002972515662870993
95.0,0.0002972515662870993
-3.0,0.00027438606118809165
-4.0,0.00022865505099007636
-6.0,0.00022865505099007636
-9.0,0.00022865505099007636
-10.0,0.00020578954589106874
-14.0,0.00013719303059404582
-12.0,0.00011432752549503818
-11.0,0.00011432752549503818
96.0,9.146202039603055e-05
-8.0,9.146202039603055e-05
-7.0,6.859651529702291e-05
-13.0,4.573101019801528e-05
