,wx_phrase
Cloudy,0.3078840261581378
Mostly Cloudy,0.20375451593725705
Fair,0.20199387204463345
Partly Cloudy,0.10081401198152468
Light Rain,0.046416975350985504
Light Snow,0.033520830475145195
Fog,0.01888690721178031
Light Drizzle,0.013216261947226414
Cloudy / Windy,0.01248456578405817
Light Rain with Thunder,0.00832304385603878
Mostly Cloudy / Windy,0.007294096126583436
Rain,0.005579183244157864
Fair / Windy,0.004801756070791603
Light Snow / Windy,0.004367311473910459
Thunder,0.0037499428362372527
T-Storm,0.003658480815841222
Light Rain / Windy,0.0033612292495541225
Haze,0.0033612292495541225
Partly Cloudy / Windy,0.0028581881373759546
Heavy T-Storm,0.002698129601682901
Snow,0.0014405268212374811
Heavy Rain,0.001394795811039466
Wintry Mix,0.0013719303059404582
Heavy T-Storm / Windy,0.0008231581835642749
Light Drizzle / Windy,0.0007316961631682444
T-Storm / Windy,0.0005259066172771757
Rain / Windy,0.0004801756070791604
Thunder in the Vicinity,0.0004801756070791604
Light Freezing Drizzle,0.0004573101019801527
Wintry Mix / Windy,0.0003658480815841222
Smoke,0.0003201170713861069
Snow / Windy,0.0003201170713861069
Rain and Snow,0.0002972515662870993
Thunder / Windy,0.00022865505099007636
Heavy Rain / Windy,0.00022865505099007636
Heavy Snow,0.00020578954589106874
Light Freezing Rain,0.00016005853569305345
Light Snow and Sleet,0.00011432752549503818
Snow / Freezing Rain,0.00011432752549503818
Drizzle,9.146202039603055e-05
Fog / Windy,9.146202039603055e-05
Rain / Freezing Rain,9.146202039603055e-05
Heavy Snow / Windy,6.859651529702291e-05
Snow and Sleet,6.859651529702291e-05
Rain and Snow / Windy,6.859651529702291e-05
Haze / Windy,4.573101019801528e-05
Light Sleet,4.573101019801528e-05
Light Snow and Sleet / Windy,4.573101019801528e-05
Blowing Snow / Windy,4.573101019801528e-05
Funnel Cloud,4.573101019801528e-05
Tornado,2.286550509900764e-05
Light Snow / Freezing Rain,2.286550509900764e-05
Blowing Snow,2.286550509900764e-05
Patches of Fog,2.286550509900764e-05
Snow and Sleet / Windy,2.286550509900764e-05
Sleet / Windy,2.286550509900764e-05
Widespread Dust / Windy,2.286550509900764e-05
Rain and Sleet,2.286550509900764e-05
Light Sleet / Windy,2.286550509900764e-05
