,rh
93.0,0.042307042729268704
87.0,0.03432697179530485
81.0,0.024151325789562573
83.0,0.023222428643810168
82.0,0.023201317345043066
90.0,0.02229353149805776
84.0,0.02075240668805945
79.0,0.02066796149299105
76.0,0.020140179023813546
88.0,0.020013511231210944
96.0,0.018725722006417835
78.0,0.018472386421212635
73.0,0.018387941226144233
74.0,0.017585711872994427
89.0,0.01684681641614592
86.0,0.01650903563587232
65.0,0.015981253166694815
53.0,0.015896807971626414
69.0,0.015432359398750211
97.0,0.01526346900861341
49.0,0.014862354332038507
100.0,0.014862354332038507
52.0,0.014799020435737206
67.0,0.014735686539435905
62.0,0.014440128356696504
71.0,0.014376794460395203
48.0,0.014271237966559703
59.0,0.014207904070258402
46.0,0.014186792771491302
54.0,0.014144570173957103
57.0,0.013933457186286101
61.0,0.0138701232899848
50.0,0.0138279006924506
55.0,0.0138279006924506
66.0,0.013680121601080899
68.0,0.013426786015875696
63.0,0.013215673028204694
43.0,0.013152339131903395
60.0,0.013131227833136295
70.0,0.013110116534369195
51.0,0.013004560040533693
75.0,0.012920114845465293
64.0,0.012772335754095593
44.0,0.01266677926026009
58.0,0.012307887181219388
56.0,0.012244553284918087
72.0,0.012117885492315487
42.0,0.011991217699712887
94.0,0.011927883803411586
40.0,0.011780104712041885
45.0,0.011695659516973484
80.0,0.011632325620672184
47.0,0.011357878736699882
41.0,0.01127343354163148
38.0,0.010956764060124979
77.0,0.010745651072453977
37.0,0.010450092889714576
39.0,0.010133423408208072
35.0,0.008740077689579464
36.0,0.008233406519169059
85.0,0.008043404830265157
34.0,0.007747846647525756
33.0,0.007072285086978551
32.0,0.005805607160952542
31.0,0.005700050667117041
92.0,0.004940043911501436
29.0,0.004370038844789732
30.0,0.00413781455835163
91.0,0.00413781455835163
28.0,0.0035889207904070256
27.0,0.0027233575409559194
26.0,0.0025544671508191184
25.0,0.0023433541631481167
24.0,0.0017522377976693126
23.0,0.0013300118223273096
22.0,0.001266677926026009
20.0,0.0008022293531498057
21.0,0.0007600067556156055
19.0,0.0004855598716433035
18.0,0.00046444857287620335
17.0,0.00025333558520520183
16.0,0.00019000168890390137
15.0,0.00014777909136970107
13.0,8.444519506840061e-05
14.0,4.2222597534200305e-05
7.0,2.1111298767100152e-05
