,precip_hrly
0.0,0.7628422094817067
0.01,0.02822868458013861
0.02,0.01586424443369943
0.03,0.010959913425893947
0.04,0.007598259307867652
0.05,0.005825332136031866
0.06,0.0047201307821602085
0.07,0.004305680274458336
0.08,0.00308535377955838
0.09,0.00255577813082821
0.1,0.0023485528769772745
0.11,0.002210402707743317
0.13,0.0016808270590131472
0.12,0.0016808270590131472
0.14,0.001381501692339573
0.16,0.0012203264948999562
0.15,0.0008979761000207225
0.17,0.000874951071815063
0.19,0.0008289010154037439
0.18,0.0007368009025811057
0.21,0.0007368009025811057
0.22,0.0005526006769358292
0.2,0.0004835255923188506
0.23,0.00039142547949621236
0.25,0.00034537542308489327
0.27,0.00032235039487923375
0.24,0.0002993253666735742
0.3,0.0002993253666735742
0.32,0.0002763003384679146
0.28,0.0002763003384679146
0.33,0.00023025028205659551
0.26,0.00023025028205659551
0.29,0.00023025028205659551
0.41,0.00020722525385093597
0.37,0.00018420022564527642
0.4,0.00016117519743961688
0.42,0.00016117519743961688
0.5,0.00016117519743961688
0.31,0.00016117519743961688
0.35,0.0001381501692339573
0.44,0.0001381501692339573
0.36,0.0001381501692339573
0.56,0.00011512514102829776
0.58,0.00011512514102829776
0.91,9.210011282263821e-05
0.34,9.210011282263821e-05
0.39,6.907508461697865e-05
1.08,6.907508461697865e-05
0.57,6.907508461697865e-05
0.64,6.907508461697865e-05
0.47,6.907508461697865e-05
0.51,6.907508461697865e-05
0.54,4.6050056411319105e-05
0.49,4.6050056411319105e-05
0.65,4.6050056411319105e-05
0.88,4.6050056411319105e-05
0.38,4.6050056411319105e-05
0.79,4.6050056411319105e-05
0.43,4.6050056411319105e-05
0.46,4.6050056411319105e-05
0.48,4.6050056411319105e-05
0.59,4.6050056411319105e-05
0.45,4.6050056411319105e-05
0.6,4.6050056411319105e-05
0.53,4.6050056411319105e-05
0.7,2.3025028205659553e-05
0.95,2.3025028205659553e-05
1.29,2.3025028205659553e-05
0.61,2.3025028205659553e-05
0.72,2.3025028205659553e-05
0.63,2.3025028205659553e-05
1.11,2.3025028205659553e-05
0.52,2.3025028205659553e-05
0.8,2.3025028205659553e-05
0.92,2.3025028205659553e-05
1.17,2.3025028205659553e-05
0.81,2.3025028205659553e-05
0.86,2.3025028205659553e-05
0.69,2.3025028205659553e-05
0.82,2.3025028205659553e-05
0.71,2.3025028205659553e-05
0.83,2.3025028205659553e-05
